Country,Code,Year,Co2 Emission
China,CHN,1988,2347763494
China,CHN,1989,2386884998
China,CHN,1990,2420302108
China,CHN,1991,2538923968
China,CHN,1992,2657112406
China,CHN,1993,2835795473
China,CHN,1994,3010242208
China,CHN,1995,3265056964
China,CHN,1996,3408346591
China,CHN,1997,3414549286
China,CHN,1998,3265902621
China,CHN,1999,3258134887
China,CHN,2000,3349294776
China,CHN,2001,3426144062
China,CHN,2002,3782439297
China,CHN,2003,4452310296
China,CHN,2004,5125894416
China,CHN,2005,5771168440
China,CHN,2006,6377748016
China,CHN,2007,6861750652
China,CHN,2008,7375189907
China,CHN,2009,7758811768
China,CHN,2010,8500542695
China,CHN,2011,9388199234
China,CHN,2012,9633899303
China,CHN,2013,9796527160
China,CHN,2014,9820360492
China,CHN,2015,9716467840
China,CHN,2016,9704479432
China,CHN,2017,9838754028
France,FRA,1940,137737088
France,FRA,1941,119922720
France,FRA,1942,122505840
France,FRA,1943,125257504
France,FRA,1944,79992448
France,FRA,1945,107172000
France,FRA,1946,165253728
France,FRA,1947,183639680
France,FRA,1948,196522304
France,FRA,1949,229076944
France,FRA,1950,202307760
France,FRA,1951,228761840
France,FRA,1952,227021440
France,FRA,1953,214585824
France,FRA,1954,226391232
France,FRA,1955,239024704
France,FRA,1956,268545552
France,FRA,1957,277548000
France,FRA,1958,266207920
France,FRA,1959,262289484.9
France,FRA,1960,271360835.7
France,FRA,1961,281373338.3
France,FRA,1962,298866540.3
France,FRA,1963,334226416.6
France,FRA,1964,345538082.1
France,FRA,1965,352111604.2
France,FRA,1966,347604774.3
France,FRA,1967,372475302.1
France,FRA,1968,385101039
France,FRA,1969,413759468.2
France,FRA,1970,439625058.8
France,FRA,1971,463142730.1
France,FRA,1972,481611324.9
France,FRA,1973,517578305.4
France,FRA,1974,500018909.2
France,FRA,1975,447805962.8
France,FRA,1976,506683598.2
France,FRA,1977,481986760.3
France,FRA,1978,506828272.6
France,FRA,1979,530382088.1
France,FRA,1980,506198145
France,FRA,1981,455612221.1
France,FRA,1982,438010694.3
France,FRA,1983,423952127.1
France,FRA,1984,407300969.3
France,FRA,1985,402459278.9
France,FRA,1986,387421119.5
France,FRA,1987,379692652.7
France,FRA,1988,374658419.7
France,FRA,1989,392941121.8
France,FRA,1990,403101721.8
France,FRA,1991,428649453.8
France,FRA,1992,418445165.7
France,FRA,1993,398644805.8
France,FRA,1994,393394915.3
France,FRA,1995,400563852.3
France,FRA,1996,416189552.7
France,FRA,1997,409449878.4
France,FRA,1998,429788966.1
France,FRA,1999,425674650.1
France,FRA,2000,420652709.4
France,FRA,2001,425882460.6
France,FRA,2002,420919498.2
France,FRA,2003,428002759.9
France,FRA,2004,428927747.1
France,FRA,2005,432639271.3
France,FRA,2006,422101255.2
France,FRA,2007,412898356.6
France,FRA,2008,406790823
France,FRA,2009,386942089.4
France,FRA,2010,397900468.6
France,FRA,2011,372792615.7
France,FRA,2012,374112621.7
France,FRA,2013,374258601.9
France,FRA,2014,343572632.5
France,FRA,2015,348163670.7
France,FRA,2016,350104687.1
France,FRA,2017,356300651.2
Germany,DEU,1940,654368416
Germany,DEU,1941,660839040
Germany,DEU,1942,667928880
Germany,DEU,1943,679466816
Germany,DEU,1944,600273120
Germany,DEU,1945,116064528
Germany,DEU,1946,271696592
Germany,DEU,1947,317672464
Germany,DEU,1948,377842672
Germany,DEU,1949,432187120
Germany,DEU,1950,510732288
Germany,DEU,1951,576918784
Germany,DEU,1952,611041616
Germany,DEU,1953,623565168
Germany,DEU,1954,659809456
Germany,DEU,1955,723585040
Germany,DEU,1956,766281632
Germany,DEU,1957,777999104
Germany,DEU,1958,756473104
Germany,DEU,1959,755905184
Germany,DEU,1960,814067520
Germany,DEU,1961,834970640
Germany,DEU,1962,883306128
Germany,DEU,1963,945638096
Germany,DEU,1964,969073040
Germany,DEU,1965,960264784
Germany,DEU,1966,951588432
Germany,DEU,1967,936382832
Germany,DEU,1968,984956480
Germany,DEU,1969,1052176224
Germany,DEU,1970,1026209456
Germany,DEU,1971,1037655792
Germany,DEU,1972,1042155184
Germany,DEU,1973,1086617824
Germany,DEU,1974,1063728816
Germany,DEU,1975,1003602576
Germany,DEU,1976,1092271376
Germany,DEU,1977,1054202416
Germany,DEU,1978,1081015568
Germany,DEU,1979,1120051824
Germany,DEU,1980,1102314400
Germany,DEU,1981,1050831536
Germany,DEU,1982,1018119344
Germany,DEU,1983,1014206192
Germany,DEU,1984,1035915392
Germany,DEU,1985,1046746176
Germany,DEU,1986,1050358880
Germany,DEU,1987,1035431744
Germany,DEU,1988,1032266048
Germany,DEU,1989,1016349632
Germany,DEU,1990,1012901808
Germany,DEU,1991,1014972286
Germany,DEU,1992,966705828.7
Germany,DEU,1993,956994179.8
Germany,DEU,1994,940407989.4
Germany,DEU,1995,940086746
Germany,DEU,1996,960174299.5
Germany,DEU,1997,932347358.9
Germany,DEU,1998,924404529.9
Germany,DEU,1999,896882683.4
Germany,DEU,2000,900960091.2
Germany,DEU,2001,917476828.5
Germany,DEU,2002,900955099.1
Germany,DEU,2003,901969864.6
Germany,DEU,2004,887996509.2
Germany,DEU,2005,867223505.9
Germany,DEU,2006,878747131.4
Germany,DEU,2007,852096162.2
Germany,DEU,2008,854420962.4
Germany,DEU,2009,789963521.6
Germany,DEU,2010,833684918
Germany,DEU,2011,810802325.3
Germany,DEU,2012,815197408.6
Germany,DEU,2013,832642995.5
Germany,DEU,2014,793635843.4
Germany,DEU,2015,797078165.2
Germany,DEU,2016,801753007.7
Germany,DEU,2017,799373210.9
United Kingdom,GBR,1940,475143856
United Kingdom,GBR,1941,469680832
United Kingdom,GBR,1942,468929712
United Kingdom,GBR,1943,454848960
United Kingdom,GBR,1944,442043280
United Kingdom,GBR,1945,417641040
United Kingdom,GBR,1946,436155232
United Kingdom,GBR,1947,461297600
United Kingdom,GBR,1948,475598192
United Kingdom,GBR,1949,485146576
United Kingdom,GBR,1950,500440112
United Kingdom,GBR,1951,544836800
United Kingdom,GBR,1952,528425744
United Kingdom,GBR,1953,540088256
United Kingdom,GBR,1954,552710736
United Kingdom,GBR,1955,576643984
United Kingdom,GBR,1956,574009568
United Kingdom,GBR,1957,570396864
United Kingdom,GBR,1958,555935056
United Kingdom,GBR,1959,546606132
United Kingdom,GBR,1960,584020017.6
United Kingdom,GBR,1961,588614801.4
United Kingdom,GBR,1962,592931498.6
United Kingdom,GBR,1963,603385663.2
United Kingdom,GBR,1964,607865989.4
United Kingdom,GBR,1965,622111621.4
United Kingdom,GBR,1966,618074666
United Kingdom,GBR,1967,592057027
United Kingdom,GBR,1968,606488304.6
United Kingdom,GBR,1969,628382547
United Kingdom,GBR,1970,652577395.1
United Kingdom,GBR,1971,660388283.8
United Kingdom,GBR,1972,648026448.4
United Kingdom,GBR,1973,659577321.9
United Kingdom,GBR,1974,617183889.6
United Kingdom,GBR,1975,603247367.3
United Kingdom,GBR,1976,598526349.6
United Kingdom,GBR,1977,604362139.4
United Kingdom,GBR,1978,604713988.3
United Kingdom,GBR,1979,644513312
United Kingdom,GBR,1980,579035974.7
United Kingdom,GBR,1981,560555006.5
United Kingdom,GBR,1982,548240956.1
United Kingdom,GBR,1983,545485794.2
United Kingdom,GBR,1984,529108886.3
United Kingdom,GBR,1985,559628081.2
United Kingdom,GBR,1986,568554785.6
United Kingdom,GBR,1987,571668517.3
United Kingdom,GBR,1988,570294855.4
United Kingdom,GBR,1989,581577310.6
United Kingdom,GBR,1990,601067551.5
United Kingdom,GBR,1991,609020421.9
United Kingdom,GBR,1992,593504125.9
United Kingdom,GBR,1993,579402782.1
United Kingdom,GBR,1994,575657386.1
United Kingdom,GBR,1995,566834101.6
United Kingdom,GBR,1996,588493462
United Kingdom,GBR,1997,562484735.6
United Kingdom,GBR,1998,567486178.9
United Kingdom,GBR,1999,560505345.8
United Kingdom,GBR,2000,567061452.3
United Kingdom,GBR,2001,575927499.8
United Kingdom,GBR,2002,560040954.1
United Kingdom,GBR,2003,571600968.8
United Kingdom,GBR,2004,573203764.5
United Kingdom,GBR,2005,570001049.8
United Kingdom,GBR,2006,567652245.2
United Kingdom,GBR,2007,559321980.6
United Kingdom,GBR,2008,544848238.5
United Kingdom,GBR,2009,494604731.5
United Kingdom,GBR,2010,512214253.3
United Kingdom,GBR,2011,469811462.2
United Kingdom,GBR,2012,487670753.9
United Kingdom,GBR,2013,477732571.4
United Kingdom,GBR,2014,438691177
United Kingdom,GBR,2015,422662553.9
United Kingdom,GBR,2016,398550884.1
United Kingdom,GBR,2017,384706788.6
United States,USA,1940,1871490592
United States,USA,1941,2039213856
United States,USA,1942,2193896944
United States,USA,1943,2267184272
United States,USA,1944,2440377888
United States,USA,1945,2355340112
United States,USA,1946,2253033904
United States,USA,1947,2480762496
United States,USA,1948,2577052416
United States,USA,1949,2159990288
United States,USA,1950,2535942336
United States,USA,1951,2612369712
United States,USA,1952,2545080352
United States,USA,1953,2605745200
United States,USA,1954,2483052496
United States,USA,1955,2721721792
United States,USA,1956,2852903984
United States,USA,1957,2828611664
United States,USA,1958,2740924816
United States,USA,1959,2823004702
United States,USA,1960,2887820432
United States,USA,1961,2877369848
United States,USA,1962,2984001744
United States,USA,1963,3116022372
United States,USA,1964,3252755199
United States,USA,1965,3388192678
United States,USA,1966,3559179160
United States,USA,1967,3693298171
United States,USA,1968,3828306054
United States,USA,1969,4021502617
United States,USA,1970,4325500825
United States,USA,1971,4351308657
United States,USA,1972,4558452642
United States,USA,1973,4762452212
United States,USA,1974,4592958261
United States,USA,1975,4400795008
United States,USA,1976,4607168187
United States,USA,1977,4735366318
United States,USA,1978,4882964043
United States,USA,1979,4894042875
United States,USA,1980,4716716355
United States,USA,1981,4530369843
United States,USA,1982,4301970691
United States,USA,1983,4335916563
United States,USA,1984,4468262025
United States,USA,1985,4484338153
United States,USA,1986,4487855840
United States,USA,1987,4680834052
United States,USA,1988,4885590503
United States,USA,1989,4948021163
United States,USA,1990,5121264461
United States,USA,1991,5070839400
United States,USA,1992,5174059076
United States,USA,1993,5284687882
United States,USA,1994,5377987137
United States,USA,1995,5439213314
United States,USA,1996,5626186717
United States,USA,1997,5703890708
United States,USA,1998,5752324190
United States,USA,1999,5832250178
United States,USA,2000,6000606067
United States,USA,2001,5902454993
United States,USA,2002,5943651279
United States,USA,2003,5991319569
United States,USA,2004,6106620735
United States,USA,2005,6132005704
United States,USA,2006,6052236286
United States,USA,2007,6130983563
United States,USA,2008,5932775281
United States,USA,2009,5495394958
United States,USA,2010,5701075808
United States,USA,2011,5570706560
United States,USA,2012,5366730281
United States,USA,2013,5519612557
United States,USA,2014,5568759258
United States,USA,2015,5420804127
United States,USA,2016,5310861406
United States,USA,2017,5269529513
